# Mach number (​),Drag coefficient (​)
0.009,0.639
0.015,0.594
0.022,0.566
0.03,0.548
0.037,0.54
0.043,0.54
0.048,0.54
0.053,0.54
0.057,0.54
0.061,0.54
0.065,0.54
0.068,0.541
0.073,0.541
0.081,0.541
0.093,0.541
0.11,0.542
0.135,0.543
0.157,0.544
0.18,0.545
0.215,0.547
0.251,0.55
0.263,0.551
0.274,0.552
0.283,0.553
0.293,0.554
0.303,0.555
0.315,0.556
0.333,0.558
0.36,0.561
0.37,0.562
0.379,0.563
0.387,0.564
0.397,0.565
0.409,0.567
0.427,0.569
0.442,0.571
0.45,0.573
0.457,0.574
0.466,0.575
0.478,0.577
0.496,0.58
0.504,0.581
0.513,0.582
0.525,0.584
0.543,0.588
0.551,0.589
0.56,0.591
0.573,0.593
0.584,0.595
0.593,0.597
0.604,0.599
0.614,0.601
0.626,0.603
0.638,0.606
0.641,0.606
0.631,0.604
0.626,0.603
0.619,0.602
0.608,0.6
0.593,0.597
0.578,0.594
0.564,0.591
0.551,0.589
0.538,0.587
0.526,0.585
0.514,0.583
0.503,0.581
0.492,0.579
0.482,0.577
0.472,0.576
0.463,0.574
0.454,0.573
0.445,0.572
0.436,0.571
0.428,0.569
0.42,0.568
0.412,0.567
0.405,0.566
0.397,0.565
0.39,0.564
0.383,0.564
0.377,0.563
0.37,0.562
0.364,0.561
0.358,0.56
0.352,0.56
0.346,0.559
0.341,0.559
0.335,0.558
0.33,0.557
0.325,0.557
0.32,0.556
0.315,0.556
0.31,0.555
0.305,0.555
0.3,0.554
0.296,0.554
0.291,0.553
0.287,0.553
0.283,0.553
0.278,0.552
0.274,0.552
0.27,0.552
0.266,0.551
0.263,0.551
0.259,0.551
0.255,0.55
0.251,0.55
0.248,0.55
0.244,0.549
0.241,0.549
0.237,0.549
0.234,0.549
0.231,0.548
0.227,0.548
0.224,0.548
0.221,0.548
0.218,0.547
0.215,0.547
0.212,0.547
0.209,0.547
0.206,0.547
0.203,0.546
0.2,0.546
0.197,0.546
0.195,0.546
0.192,0.546
0.189,0.546
0.187,0.545
0.184,0.545
0.182,0.545
0.179,0.545
0.176,0.545
0.174,0.545
0.172,0.545
0.169,0.544
0.167,0.544
0.164,0.544
0.162,0.544
0.16,0.544
0.157,0.544
0.155,0.544
0.153,0.544
0.151,0.543
0.148,0.543
0.146,0.543
0.144,0.543
0.142,0.543
0.14,0.543
0.138,0.543
0.136,0.543
0.134,0.543
0.132,0.543
0.13,0.543
0.128,0.542
0.126,0.542
0.124,0.542
0.122,0.542
0.12,0.542
0.118,0.542
0.116,0.542
0.114,0.542
0.112,0.542
0.11,0.542
0.108,0.542
0.107,0.542
0.105,0.542
0.103,0.542
0.101,0.541
0.099,0.541
0.098,0.541
0.096,0.541
0.094,0.541
0.092,0.541
0.091,0.541
0.089,0.541
0.087,0.541
0.086,0.541
0.084,0.541
0.082,0.541
0.081,0.541
0.079,0.541
0.077,0.541
0.076,0.541
0.074,0.541
0.072,0.541
0.071,0.541
0.069,0.541
0.068,0.541
0.066,0.541
0.064,0.54
0.063,0.54
0.061,0.54
0.06,0.54
0.058,0.54
0.057,0.54
0.055,0.54
0.054,0.54
0.052,0.54
0.05,0.54
0.049,0.54
0.047,0.54
0.046,0.54
0.044,0.54
0.043,0.54
0.042,0.54
0.04,0.54
0.039,0.54
0.037,0.54
0.036,0.542
0.034,0.544
0.033,0.547
0.031,0.549
0.03,0.552
0.028,0.555
0.027,0.559
0.026,0.562
0.024,0.566
0.023,0.569
0.021,0.573
0.02,0.578
0.019,0.583
0.017,0.588
0.016,0.593
0.015,0.599
0.014,0.607
0.012,0.615
0.011,0.622
0.01,0.63
0.009,0.639
0.008,0.648
0.008,0.658
0.007,0.663
0.007,0.663
0.007,0.664
0.007,0.66
0.008,0.65
0.009,0.644
0.01,0.636
0.011,0.625
0.012,0.617
0.013,0.609
0.014,0.602
0.016,0.596
0.017,0.59
0.018,0.585
0.02,0.58
0.021,0.576
0.022,0.572
0.023,0.568
0.024,0.565
0.026,0.562
0.027,0.559
0.028,0.556
0.029,0.553
0.031,0.551
0.032,0.549
0.033,0.547
0.033,0.547
0.033,NaN
0.033,NaN
0.036,NaN
0.038,NaN
0.041,NaN
0.042,NaN
0.044,NaN
0.045,NaN
0.045,NaN
0.046,NaN
0.046,NaN
0.046,NaN
0.046,NaN
0.046,NaN
0.046,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.045,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
0.044,NaN
